AppID,Name,Genres,Categories,Tags,Rating
1087950,.fall,"Action, Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Steam Achievements","Action, Indie, Casual",30
2691350,.Forty-Five,"Action, Adventure, Indie, Strategy",Single-player,"Roguelike Deckbuilder, Western, Free to Play, Card Game, Rogue-lite",45
1854900,.G,Casual,"Single-player, Multi-player, Steam Achievements, Stats, Family Sharing","Unforgiving, Casual, Score Attack, Bullet Hell, Arcade",30
525480,.hack//G.U. Last Recode,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Remote Play on TV","RPG, JRPG, Anime, Singleplayer, Story Rich",62
3347280,.HEADSPACE,Adventure,"Single-player, Full controller support, Family Sharing",,0
759000,.projekt,"Casual, Indie","Single-player, Steam Achievements, Family Sharing","Casual, Indie, Puzzle, Minimalist, Abstract",33
3197050,.redruM,"Adventure, Indie, Simulation","Single-player, Full controller support, Family Sharing",,0
771710,.T.E.S.T: Expected Behaviour — Sci-Fi 3D Puzzle Quest,"Action, Adventure, Indie, Simulation","Single-player, Steam Achievements, Family Sharing","Puzzle, Indie, Sci-fi, Action, Adventure",31
1784990,// OVERDRIVE,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards","Rogue-lite, Twin Stick Shooter, Shoot Em Up, Bullet Hell, Looter Shooter",31
270090,//N.P.P.D. RUSH//- The milk of Ultraviolet,"Action, Indie","Single-player, Steam Trading Cards, Family Sharing","Indie, Bullet Hell, Retro, Action, Shooter",31
3632010,//signal.,"Adventure, Casual, Indie","Single-player, Family Sharing","Casual, 1990s, Atmospheric, Adventure, Dark Fantasy",30
355430,//SNOWFLAKE TATTOO//,"Action, Adventure, Indie, RPG","Single-player, Steam Trading Cards, Family Sharing","Adventure, RPG, Indie, Action",30
1259240,//TODO: today,"Adventure, Casual, Free To Play, Indie","Single-player, Steam Achievements, Partial Controller Support",,0
2132900,/Conspiracy/ Girls >The Madness of Madison Delaroux,Adventure,"Single-player, Family Sharing","Visual Novel, Female Protagonist, Comedy, Memes, Anime",30
3396850,/R - A Neurodivergent Thriller,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Family Sharing","Psychological Horror, Female Protagonist, Exploration, Perma Death, Puzzle",30
3406300,/R Playtest,,,,0
4011780,/trace,"Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen",,0
554920,0 Day,"Violent, Action, Adventure, Indie, Strategy","Single-player, Tracked Controller Support, VR Only, Family Sharing","Strategy, Action, Adventure, Indie, Early Access",30
4234500,0.0035％,Indie,"Single-player, Partial Controller Support, Family Sharing",,0
4142270,0.3333333333,"Casual, Indie, Simulation","Single-player, Steam Achievements, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option",,0
1860930,001 Earth,"Action, Adventure, Casual, Indie, Early Access","Single-player, Family Sharing","Adventure, Survival, Indie, Action, Casual",30
347400,001 Game Creator: 2025 Edition,"Animation & Modeling, Design & Illustration, Education, Photo Editing, Software Training","Steam Achievements, Adjustable Text Size, Camera Comfort, Chat Text-to-speech, Color Alternatives","Game Development, Design & Illustration, Utilities, Web Publishing, Animation & Modeling",34
2930280,101,"Casual, Indie, Free To Play","Single-player, Steam Achievements, Steam Cloud",,0
2706960,27,"Adventure, Indie, Strategy, Free To Play",Single-player,"Adventure, Survival Horror, Horror, Strategy, First-Person",30
3181320,03 Playtest,,,,0
952950,3.04,"Action, Adventure, Indie","Single-player, Steam Achievements, Partial Controller Support","Action, Adventure, Indie, Horror, FPS",36
3164120,927,Casual,"Single-player, Family Sharing",,0
1101290,0Gravity,"Action, Casual, Indie, Massively Multiplayer, Free To Play","Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Partial Controller Support","Indie, Early Access, Casual, Action, Violent",30
278440,0RBITALIS,"Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud","Simulation, Indie, Puzzle, Space, Physics",34
2885400,0th floor. - The cursed elevator to floor zero -,"Adventure, Indie, Simulation","Single-player, Steam Achievements, Family Sharing","Adventure, Simulation, Realistic, Horror, Psychological Horror",30
2218760,0xFF,"Action, Indie, Strategy","Single-player, Full controller support, Family Sharing",,0
670750,0°N 0°W,"Adventure, Casual, Indie","Single-player, Partial Controller Support, Family Sharing","Colorful, Surreal, Exploration, Open World, Psychedelic",36
2493160,1 Bit Survivor,"Adventure, Casual, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing","Survival Horror, Turn-Based Combat, Rogue-like, Dungeon Crawler, Casual",32
2218850,1 Day Later: Escape Zombie Hospital,"Action, Casual, Indie","Single-player, Family Sharing","Casual, Action, Top-Down, Puzzle, Difficult",30
1587630,1 Hop,Indie,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen","Adventure, Action-Adventure, Exploration, 3D, Third Person",30
3943970,1 in a Million | A game of odds,"Casual, Indie, Free To Play","Single-player, Steam Achievements, In-App Purchases",,0
2331220,1 Million Zombies,"Action, Casual, Indie","Single-player, Steam Achievements, Steam Leaderboards, Family Sharing","Action, Casual, Vehicular Combat, Singleplayer, Arcade",31
497400,1 Moment Of Time: Silentville,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","Adventure, Hidden Object, Indie, Point & Click, Puzzle",39
622290,1 multi screen media player gallery video wall photo slideshow wizard app,"Utilities, Video Production, Early Access","Tracked Controller Support, VR Supported","Utilities, Early Access, Video Production, VR",30
2209310,1 Rule Sudoku,Casual,"Single-player, Family Sharing","Casual, Education, Puzzle, Clicker, 2D",30
791180,1 Screen Platformer,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing","Precision Platformer, Difficult, 2D Platformer, Platformer, Side Scroller",37
1271540,1 Screen Platformer: Prologue,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Leaderboards","Precision Platformer, Difficult, 2D Platformer, Singleplayer, Side Scroller",34
2976720,1 to 1 humanoid edible toys,"Adventure, Casual, Indie, Simulation","Single-player, Steam Achievements, Family Sharing","Visual Novel, Female Protagonist, Dating Sim, LGBTQ+, Multiple Endings",55
2149630,1 Trait Escape,Action,"Single-player, Steam Achievements, Steam Cloud, Family Sharing","Action, Action Roguelike, Adventure, Third Person, Singleplayer",34
4094440,1 Trillion Credits In Debt,"RPG, Strategy","Single-player, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound",,0
3376520,1+1=？,"Casual, Indie, Racing","Single-player, Family Sharing","Casual, Female Protagonist, Anime, 2D, Cute",31
1556920,"1, 2 BLAME!","Action, Casual","Multi-player, PvP, Online PvP, Co-op, Online Co-op","Multiplayer, Casual, Online Co-Op, Party-Based RPG, Assassin",30
1071310,"1, 2, 3... Bruegel!","Casual, Indie","Single-player, Full controller support, Tracked Controller Support, VR Only, Family Sharing","Casual, Indie, VR",30
406730,"1,000 Heads Among the Trees",Indie,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","Indie, Horror, Adventure",31
583570,1-2-Swift,"Action, Adventure, Casual, Simulation","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op","Casual, Action, Adventure, Simulation, VR",30
3359690,1-Bit Explorer,"Action, Adventure, Indie, RPG, Free To Play",Single-player,,0
1025480,1-Bit Revival: The Residuals of Null,"Action, Indie","Single-player, Steam Achievements, Full controller support, Family Sharing","Indie, Action, Pixel Graphics, Retro, 2D",30
4105760,1-DC,Simulation,"Single-player, Steam Achievements, Color Alternatives, Adjustable Difficulty, Mouse Only Option",,0
3406660,1.96.9 all update,"Indie, Free To Play",Single-player,,0
1782130,1/2 Red Riding Hood,Adventure,"Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","Adventure, Action, Platformer, Action RPG, 2D Platformer",30
3014150,1/8192,"Casual, Indie","Single-player, Steam Achievements, Family Sharing","Indie, Casual, Walking Simulator, First-Person, Exploration",32
3118850,10 Blaze Escape,"Action, Adventure, Indie, Racing, Simulation","Single-player, Partial Controller Support, Steam Leaderboards, Family Sharing","Horror, Action-Adventure, 3D, Mystery Dungeon, Adventure",30
1564540,10 Dead Doves,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Story Rich, Walking Simulator, Lovecraftian, Psychological Horror, Singleplayer",34
1015140,10 Miles To Safety,"Action, Indie, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Full controller support","Strategy, Action, Indie, Zombies, Action Roguelike",40
389120,10 Minute Barbarian,"Casual, Indie, Strategy","Single-player, Steam Achievements, Family Sharing","Strategy, Indie, Casual",30
477010,10 Minute Tower,Indie,"Single-player, Full controller support, Family Sharing","Indie, Robots, Casual, Grid-Based Movement, Logic",30
787580,10 Pin Bowling (VR Support),"Simulation, Sports, Early Access","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op","Simulation, Sports, e-sports, Sandbox, First-Person",30
271670,10 Second Ninja,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud","Indie, Action, Platformer, Ninja, Fast-Paced",41
435790,10 Second Ninja X,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Custom Volume Controls","Action, Indie, Platformer, Puzzle-Platformer, Ninja",55
3006930,10 Second Rule: Infinity Labo,"Adventure, Indie, Simulation","Single-player, Partial Controller Support, Family Sharing","Adventure, Horror, Simulation, Walking Simulator, Immersive Sim",30
1130440,10 Second Shuriken,"Action, Indie","Single-player, Steam Achievements, Partial Controller Support, Family Sharing","Action, Indie, FPS, 3D Platformer, First-Person",30
3986550,10 Second Year,"Casual, Indie, Simulation","Single-player, Adjustable Difficulty, Keyboard Only Option, Playable without Timed Input, Family Sharing",,0
3418430,10 Seconds,"Indie, Free To Play",Single-player,,0
852190,10 seconds,"Action, Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Tracked Controller Support","Action, Indie, Casual, VR",30
3322940,10 seconds dash!,Action,"Single-player, Full controller support, Family Sharing",,0
1846020,10 Seconds to Win!,"Action, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Time Attack, Pixel Graphics, Cute, Precision Platformer, Parkour",33
339240,10 Years After,"Action, Adventure, Indie, Early Access","Single-player, Partial Controller Support, Family Sharing","Early Access, Adventure, Action, Indie, Survival",29
2130670,"10,000","Casual, Indie, Strategy","Single-player, Custom Volume Controls, Stereo Sound, Family Sharing",,0
