AppID,Name,Genres,Categories,Tags,Rating
525700,Birthdays the Beginning,Simulation,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud","Simulation, God Game, Sandbox, Dinosaurs, Singleplayer",38
1424860,Bish Bash Bots,"Action, Casual, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op","Tower Defense, Co-op, Co-op Campaign, Cute, Multiplayer",33
1310990,Bishojo Mangekyo Kotowari to Meikyu no Shojo,"Adventure, Indie","Single-player, Steam Trading Cards, Family Sharing","FPS, Sexual Content, Shooter, Visual Novel, Story Rich",62
433950,Bit Blaster XL,"Action, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","Bullet Hell, Shoot Em Up, Difficult, Shooter, Arcade",75
1120980,bit Dungeon,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Family Sharing","Action Roguelike, Action, Adventure, RPG, Indie",33
331440,bit Dungeon II,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","RPG, Action Roguelike, Pixel Graphics, Indie, Action",52
856210,bit Dungeon III,"Action, Adventure, Indie, Massively Multiplayer, RPG","Single-player, Multi-player, MMO, PvP, Online PvP","Action Roguelike, Action, RPG, Indie, Adventure",33
666860,Bit Heroes Quest,"Adventure, Free To Play, Massively Multiplayer, RPG","Single-player, Multi-player, MMO, Co-op, Online Co-op","Free to Play, Pixel Graphics, RPG, Adventure, MMORPG",56
63700,BIT.TRIP BEAT,"Action, Casual, Indie","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards","Indie, Rhythm, Music, Action, Casual",41
218060,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,"Action, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","Rhythm, Platformer, Indie, Music, Difficult",61
2222540,BIT.TRIP RERUNNER,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Includes level editor","Precision Platformer, Runner, Side Scroller, Rhythm, Platformer",37
63710,BIT.TRIP RUNNER,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","Rhythm, Platformer, Runner, Music, Action",62
405010,Bitardia,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Family Sharing","Action-Adventure, Story Rich, Memes, Atmospheric, Adventure",43
448310,Bitardia Cards: Memes of 2ch,"Casual, Free To Play, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer","Free to Play, Casual, Strategy, Memes, Card Game",33
2951520,Bite Night,Indie,"Single-player, Steam Achievements, Family Sharing","Horror, Comedy, Retro, Singleplayer, Jump Scare",38
448440,Bizarre Earthquake,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","Adventure, Indie, Point & Click, Puzzle, Female Protagonist",34
1998450,Black & White,"Adventure, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing","Adventure, Strategy, RPG, Turn-Based Strategy, JRPG",39
1138660,Black Book,"Adventure, Indie, RPG, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","Card Battler, Turn-Based Tactics, Female Protagonist, Card Game, Turn-Based",72
400580,Black Closet,"Indie, RPG, Simulation, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","Detective, Female Protagonist, Strategy, RPG, LGBTQ+",35
714080,BLACK CLOVER: QUARTET KNIGHTS,Action,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements","Action, Anime, Fighting, Magic, Multiplayer",41
582660,Black Desert,"Action, Adventure, Massively Multiplayer, RPG, Strategy","Multi-player, MMO, PvP, Online PvP, Co-op","MMORPG, Massively Multiplayer, Open World, Character Customization, RPG",73
523070,Black Forest,"Casual, Indie, Strategy, Free To Play","Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing","RTS, Survival Horror, Base-Building, Strategy, Resource Management",35
751820,Black Future 88,"Action, Adventure","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen","Action, Action Roguelike, Rogue-lite, Cyberpunk, Adventure",38
1374930,Black Geyser: Couriers of Darkness,"Indie, RPG","Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Family Sharing","RPG, CRPG, Real-Time with Pause, Party-Based RPG, Isometric",40
2270750,Black Gunner Wukong,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Shoot Em Up, Action Roguelike, Looter Shooter, Third-Person Shooter, Arena Shooter",39
311800,Black Ice,"Action, Indie, RPG, Early Access","Single-player, Multi-player, PvP, Online PvP, LAN PvP","Early Access, Exploration, Looter Shooter, Arena Shooter, Cyberpunk",42
233680,Black Ink,"Animation & Modeling, Design & Illustration, Photo Editing, Utilities, Game Development",,"Design & Illustration, Utilities, Photo Editing, Animation & Modeling, Software",38
1931940,Black Lilys Tale,"Adventure, Indie","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","Visual Novel, LGBTQ+, Female Protagonist, Typing, Mystery",36
2097720,Black Market of Bulletphilia  ~ 100th Black Market.,"Action, Indie","Single-player, Partial Controller Support, Steam Cloud, Family Sharing","Shoot Em Up, Female Protagonist, Shooter, 2D, Faith",37
362890,Black Mesa,"Action, Adventure, Indie","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer","FPS, Remake, Action, Sci-fi, First-Person",94
581300,Black Mirror,Adventure,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV","Adventure, Violent, Point & Click, Lovecraftian, Atmospheric",33
292930,Black Mirror I,Adventure,"Single-player, Steam Cloud, Family Sharing","Point & Click, Adventure, Mystery, Horror, Atmospheric",47
286460,Black Mirror II,Adventure,"Single-player, Steam Cloud, Family Sharing","Adventure, Point & Click, Horror, Mystery, Singleplayer",41
286480,Black Mirror III,Adventure,"Single-player, Steam Cloud, Family Sharing","Adventure, Point & Click, Horror, Puzzle, Mystery",38
2358720,Black Myth: Wukong,"Action, Adventure, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Playable without Timed Input","Mythology, Action RPG, Action, Souls-like, RPG",96
